Datetime,Acreage,TotalFloor,TotalBedroom,TotalBathroom,HouseUtilities,HouseMinusPoint,RoomMultipurpose,OuterUtilities,HouseType,City,District,Price,million/m2,Longitude,Latitude
2023,45.0,7,4.0,5.0,10,0,3,2,Bán Nhà riêng,TP Hồ Chí Minh,Quận 10,8.0,177.77777777777777,106.66821544343898,10.7726536
2023,40.0,4,3.0,2.0,6,0,1,1,Bán Nhà riêng,Hà Nội,Đống Đa,5.3,132.5,105.77366865,21.075303599999998
2023,54.0,1,8.0,2.0,3,0,2,3,Bán Nhà riêng,TP Hồ Chí Minh,Gò Vấp,3.3,61.11111111111112,106.6403038,10.8440568
2023,47.0,12,15.0,16.0,1,0,2,9,Bán Nhà mặt phố,TP Hồ Chí Minh,Phú Nhuận,9.3,197.87234042553192,106.6798916250364,10.8010732
2023,42.0,2,2.0,2.0,3,0,0,3,Bán Nhà riêng,TP Hồ Chí Minh,Tân Phú,4.95,117.85714285714286,106.7261695,10.727068
2023,30.0,4,5.0,5.0,2,0,1,3,Bán Nhà mặt phố,TP Hồ Chí Minh,Phú Nhuận,6.2,206.66666666666663,106.6798916250364,10.8010732
2023,65.0,2,3.0,3.0,4,1,1,6,Bán Nhà mặt phố,TP Hồ Chí Minh,Bình Thạnh,13.5,207.69230769230768,106.5878711,10.8041602
2023,116.0,2,4.0,4.0,2,0,2,4,Bán Nhà mặt phố,TP Hồ Chí Minh,Quận 12,8.5,73.27586206896552,106.66420925636413,10.861410750000001
2023,40.0,1,2.0,2.0,1,0,0,1,Bán Nhà,Hà Nội,Hai Bà Trưng,5.2,130.0,105.8552245,21.012198
2023,54.76976414247677,1,1.0,1.0,1,0,0,7,Bán Nhà mặt phố,Hà Nội,Hai Bà Trưng,6.0,109.54949494381135,105.8552245,21.012198
2023,62.0,1,2.0,2.0,1,0,0,9,Bán Nhà riêng,TP Hồ Chí Minh,Quận 1,25.0,403.2258064516129,106.69957286491969,10.77526035
2023,85.0,2,2.0,2.0,0,0,0,10,Bán Nhà riêng,TP Hồ Chí Minh,Quận 1,26.0,305.88235294117646,106.69957286491969,10.77526035
2023,40.0,4,3.0,2.0,6,0,1,1,Bán Nhà riêng,Hà Nội,Đống Đa,5.3,132.5,105.77366865,21.075303599999998
2023,155.0,1,5.0,8.0,6,0,0,1,Bán Nhà riêng,TP Hồ Chí Minh,Bình Thạnh,13.45,86.7741935483871,106.5878711,10.8041602
2023,135.0,6,4.0,4.0,4,0,0,2,Bán Nhà riêng,TP Hồ Chí Minh,Bình Thạnh,9.92,73.48148148148148,106.5878711,10.8041602
2023,120.0,16,7.0,7.0,12,0,0,7,Bán Nhà riêng,Hà Nội,Nam Từ Liêm,45.0,375.0,105.7814958,21.0151072
2023,18.0,3,2.0,2.0,2,0,0,2,Bán Nhà mặt phố,TP Hồ Chí Minh,Tân Bình,1.95,108.33333333333331,106.66523106900442,10.797672200000001
2023,82.0,3,5.0,4.0,2,0,0,3,Bán Nhà riêng,Thừa Thiên Huế,Huế,2.95,35.97560975609756,107.5863388,16.4639321
2023,82.0,3,5.0,4.0,2,0,0,3,Bán Nhà riêng,Thừa Thiên Huế,Huế,2.95,35.97560975609756,107.5863388,16.4639321
2023,75.0,3,3.0,4.0,1,0,0,1,Bán Nhà,Hải Phòng,Thủy Nguyên,3.5,46.66666666666666,106.68503670470655,20.941078349999998
2023,80.0,1,3.0,3.0,1,0,0,3,Bán Nhà mặt phố,Thừa Thiên Huế,Hương Thủy,4.19,52.375,107.671579,16.4115408
